dataset,configuration,method,seed,n,tp,recall,recall_cluster_interval,source_components,mean_agent_calls,mean_input_tokens,mean_output_tokens,mean_wall_seconds,mean_revision_rounds,accepted_fraction,error_fraction,usage_complete,repair_quality,manuscript_eligible
dreaddit,qwen_only,warrantroute,20260907,1,1,1.0,,1,6.0,27104.0,3347.0,252.84822920704028,2.0,0.0,0.0,True,,False
dreaddit,llama_only,warrantroute,20260907,1,1,1.0,,1,6.0,25300.0,2853.0,235.42474145896267,2.0,0.0,0.0,True,,False
dreaddit,gemma_only,warrantroute,20260907,1,1,1.0,,1,6.0,25369.0,2191.0,78.45930879091611,2.0,0.0,0.0,True,,False
