corpus_id,method,model_id,from_n,to_n,delta_calls,recall_gain,gain_per_100_added_calls
goemotions,All roles,gemma3:4b,0,100,300,0.8,0.2666666666666667
goemotions,All roles,llama3.1:8b,0,100,300,0.76,0.2533333333333333
goemotions,All roles,qwen3:8b,0,100,300,0.91,0.30333333333333334
goemotions,Fixed role,gemma3:4b,0,100,100,0.79,0.79
goemotions,Fixed role,llama3.1:8b,0,100,100,0.56,0.56
goemotions,Fixed role,qwen3:8b,0,100,100,0.84,0.84
goemotions,Generalist,gemma3:4b,0,100,100,0.61,0.61
goemotions,Generalist,llama3.1:8b,0,100,100,0.56,0.56
goemotions,Generalist,qwen3:8b,0,100,100,0.73,0.73
