corpus_id,subset,sample_n,method,model_id,tp,tp_over_n,recall,reviewer_calls,recall_per_100_calls,valid_output_n,missing_output_n,count_unsupported_evidence,count_source_concentration,count_counterevidence_loss,count_contextual_flattening,count_unsupported_abstraction,selected_role,roles_included
goemotions,balanced_n100,100,Generalist,gemma3:4b,61,61/100,0.61,100,0.61,100,0,20,20,20,20,20,,
goemotions,balanced_n100,100,Fixed role,gemma3:4b,79,79/100,0.79,100,0.79,100,0,20,20,20,20,20,qualitative_methods,
goemotions,balanced_n100,100,All roles,gemma3:4b,80,80/100,0.8,300,0.2666666666666667,300,0,20,20,20,20,20,,generalist;qualitative_methods;domain
goemotions,balanced_n100,100,Generalist,llama3.1:8b,56,56/100,0.56,100,0.56,100,0,20,20,20,20,20,,
goemotions,balanced_n100,100,Fixed role,llama3.1:8b,56,56/100,0.56,100,0.56,100,0,20,20,20,20,20,generalist,
goemotions,balanced_n100,100,All roles,llama3.1:8b,76,76/100,0.76,300,0.2533333333333333,300,0,20,20,20,20,20,,generalist;qualitative_methods;domain
goemotions,balanced_n100,100,Generalist,qwen3:8b,73,73/100,0.73,100,0.73,100,0,20,20,20,20,20,,
goemotions,balanced_n100,100,Fixed role,qwen3:8b,84,84/100,0.84,100,0.84,99,0,20,20,20,20,20,domain,
goemotions,balanced_n100,100,All roles,qwen3:8b,91,91/100,0.91,300,0.30333333333333334,299,0,20,20,20,20,20,,generalist;qualitative_methods;domain
