method,paper_facing_name,model_id,tp,n,recall,recall_wilson_95_low,recall_wilson_95_high,mean_specialist_acquisitions,mean_total_role_acquisitions,mean_incremental_cost,mean_total_role_cost,route_counts,stop_reason_counts,result_label,manuscript_eligible,dataset,corpus_id,evaluation_mode
WarrantLoop-CumulativeUtility,WarrantRoute-CU,gemma3:4b,84,100,0.84,0.7557973061072976,0.8990471151119521,0.29,1.29,0.29,1.29,"{""generalist"": 71, ""qualitative_methods"": 29}","{""expected_gain_below_threshold"": 100}",private_personal_exploratory_not_for_publication,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
WarrantLoop-CumulativeUtility,WarrantRoute-CU,llama3.1:8b,42,100,0.42,0.3279838267435473,0.5179351329695703,1.31,2.31,1.4575,2.4575,"{""both"": 59, ""domain"": 13, ""generalist"": 28}","{""both_specialists_acquired"": 59, ""expected_gain_below_threshold"": 41}",private_personal_exploratory_not_for_publication,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
WarrantLoop-CumulativeUtility,WarrantRoute-CU,qwen3:8b,68,100,0.68,0.5833738138954762,0.7633085267500092,0.04,1.04,0.04,1.04,"{""generalist"": 96, ""qualitative_methods"": 4}","{""expected_gain_below_threshold"": 100}",private_personal_exploratory_not_for_publication,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
WarrantLoop-CumulativeUtility,WarrantRoute-CU,gemma3:4b,73,100,0.73,0.6356788323205499,0.8073041585042365,0.17,1.17,0.17,1.17,"{""generalist"": 83, ""qualitative_methods"": 17}","{""expected_gain_below_threshold"": 100}",private_personal_exploratory_not_for_publication,False,GoEmotion,goemotions,dreaddit_policy_transfer_working
WarrantLoop-CumulativeUtility,WarrantRoute-CU,llama3.1:8b,59,100,0.59,0.4920143005341078,0.6813268697886348,0.04,1.04,0.04,1.04,"{""domain"": 4, ""generalist"": 96}","{""expected_gain_below_threshold"": 100}",private_personal_exploratory_not_for_publication,False,GoEmotion,goemotions,dreaddit_policy_transfer_working
WarrantLoop-CumulativeUtility,WarrantRoute-CU,qwen3:8b,75,100,0.75,0.656955364519384,0.8245478863771232,0.02,1.02,0.02,1.02,"{""generalist"": 98, ""qualitative_methods"": 2}","{""expected_gain_below_threshold"": 100}",private_personal_exploratory_not_for_publication,False,GoEmotion,goemotions,dreaddit_policy_transfer_working
WarrantLoop-CumulativeUtility,WarrantRoute-CU,gemma3:4b,65,100,0.65,0.5525444329688796,0.7363575175690247,0.32,1.32,0.32,1.32,"{""generalist"": 68, ""qualitative_methods"": 32}","{""expected_gain_below_threshold"": 100}",private_personal_exploratory_not_for_publication,False,CaChe,agyw_focus_groups,retrospective_heldout_transfer_working
WarrantLoop-CumulativeUtility,WarrantRoute-CU,llama3.1:8b,27,100,0.27,0.1926958414957634,0.36432116767944994,0.0,1.0,0.0,1.0,"{""generalist"": 100}","{""expected_gain_below_threshold"": 100}",private_personal_exploratory_not_for_publication,False,CaChe,agyw_focus_groups,retrospective_heldout_transfer_working
WarrantLoop-CumulativeUtility,WarrantRoute-CU,qwen3:8b,80,100,0.8,0.7111708344068411,0.8666330666689676,0.01,1.01,0.01,1.01,"{""generalist"": 99, ""qualitative_methods"": 1}","{""expected_gain_below_threshold"": 100}",private_personal_exploratory_not_for_publication,False,CaChe,agyw_focus_groups,retrospective_heldout_transfer_working
WarrantLoop-CumulativeUtility,WarrantRoute-CU,gemma3:4b,63,100,0.63,0.5322052958094291,0.7181763946567546,0.28,1.28,0.28,1.28,"{""generalist"": 72, ""qualitative_methods"": 28}","{""expected_gain_below_threshold"": 100}",private_personal_exploratory_not_for_publication,False,ParlaMint-GB,parlamint_gb,retrospective_heldout_transfer_working
WarrantLoop-CumulativeUtility,WarrantRoute-CU,llama3.1:8b,24,100,0.24,0.16691325556948772,0.33232336349814473,0.02,1.02,0.02,1.02,"{""domain"": 2, ""generalist"": 98}","{""expected_gain_below_threshold"": 100}",private_personal_exploratory_not_for_publication,False,ParlaMint-GB,parlamint_gb,retrospective_heldout_transfer_working
WarrantLoop-CumulativeUtility,WarrantRoute-CU,qwen3:8b,73,100,0.73,0.6356788323205499,0.8073041585042365,0.0,1.0,0.0,1.0,"{""generalist"": 100}","{""expected_gain_below_threshold"": 100}",private_personal_exploratory_not_for_publication,False,ParlaMint-GB,parlamint_gb,retrospective_heldout_transfer_working
