Dataset,Method,Model,Checkpoint,Planned_N,Processed,Valid_reviews,credibility_true,credibility_false,credibility_null,credibility_technical,credibility_unprocessed,credibility_resolved_case_pct,credibility_binary_n,credibility_binary_coverage_pct,credibility_full_panel_pct,conformability_true,conformability_false,conformability_null,conformability_technical,conformability_unprocessed,conformability_resolved_case_pct,conformability_binary_n,conformability_binary_coverage_pct,conformability_full_panel_pct,reference_issues_in_judged,grounded_matches,Qualification
Dreaddit,ACE-inspired WarrantRoute-Lite,gemma3:4b,E3,20,0,0,0,0,0,0,20,,0,0.0,,0,0,0,0,20,,0,0.0,,0,0,Private same-model constructed-claim diagnostic
GoEmotions,ACE-inspired WarrantRoute-Lite,gemma3:4b,E3,20,0,0,0,0,0,0,20,,0,0.0,,0,0,0,0,20,,0,0.0,,0,0,Private same-model constructed-claim diagnostic
CaChe,ACE-inspired WarrantRoute-Lite,gemma3:4b,E3,20,0,0,0,0,0,0,20,,0,0.0,,0,0,0,0,20,,0,0.0,,0,0,Private same-model constructed-claim diagnostic; within-source
ParlaMint-GB,ACE-inspired WarrantRoute-Lite,gemma3:4b,E3,20,0,0,0,0,0,0,20,,0,0.0,,0,0,0,0,20,,0,0.0,,0,0,Private same-model constructed-claim diagnostic
