controlled_items_per_failure_family,controlled_items,matched_natural_items,total_items,ratings_per_role_per_item,total_independent_ratings,estimated_power_aligned_role_gain,researcher_hours,expert_hours,all_human_review_hours
12,60,60,120,3,1080,0.0387,18.0,60.0,78.0
24,120,120,240,3,2160,0.162,36.0,120.0,156.0
40,200,200,400,3,3600,0.333,60.0,200.0,260.0
60,300,300,600,3,5400,0.4953,90.0,300.0,390.0
80,400,400,800,3,7200,0.6227,120.0,400.0,520.0
100,500,500,1000,3,9000,0.7463,150.0,500.0,650.0
120,600,600,1200,3,10800,0.8167,180.0,600.0,780.0
150,750,750,1500,3,13500,0.9153,225.0,750.0,975.0
