dataset,configuration,method,seed,n,tp,recall,recall_cluster_interval,source_components,mean_agent_calls,mean_input_tokens,mean_output_tokens,mean_wall_seconds,mean_revision_rounds,accepted_fraction,error_fraction,usage_complete,repair_quality,manuscript_eligible
dreaddit,qwen_led,always_on,20260905,1,1,1.0,,1,12.0,46287.0,6263.0,268.4122280419688,2.0,0.0,0.0,True,,False
dreaddit,llama_led,always_on,20260905,1,1,1.0,,1,12.0,46934.0,6585.0,337.3433946230216,2.0,0.0,0.0,True,,False
dreaddit,gemma_led,always_on,20260905,1,1,1.0,,1,8.0,28585.0,3817.0,215.18849166703876,1.0,0.0,1.0,True,,False
