method,paper_facing_name,model_id,tp,n,recall,recall_wilson_95_low,recall_wilson_95_high,mean_specialist_acquisitions,mean_total_role_acquisitions,mean_incremental_cost,route_counts,stop_reason_counts,result_label,manuscript_eligible
WarrantLoop,WarrantRoute-S,gemma3:4b,6,10,0.6,0.31267376973365824,0.8318196702937638,0.1,1.1,0.1,"{""generalist"": 9, ""qualitative_methods"": 1}","{""expected_gain_below_threshold"": 10}",private_personal_exploratory_not_for_publication,False
WarrantLoop,WarrantRoute-S,llama3.1:8b,6,10,0.6,0.31267376973365824,0.8318196702937638,0.6,1.6,0.6,"{""domain"": 6, ""generalist"": 4}","{""expected_gain_below_threshold"": 10}",private_personal_exploratory_not_for_publication,False
WarrantLoop,WarrantRoute-S,qwen3:8b,7,10,0.7,0.39677814746114537,0.8922087325936989,0.0,1.0,0.0,"{""generalist"": 10}","{""expected_gain_below_threshold"": 10}",private_personal_exploratory_not_for_publication,False
