Dataset,Latest_saved_epoch,Current_epoch,Evaluation_epoch,Development_processed,Development_valid,Learned_rules_latest,Learned_rules_evaluated,Accepted_batches,Proposed_edits,Accepted_adds,Accepted_replacements,Withheld_integrity,Withheld_semantic_audit,Unchanged,Learning_technical,Distinct_supporting_packets,Distinct_supporting_sources,Distinct_learned_rules_retrieved,State
Dreaddit,0,1,,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0,seed_only
GoEmotions,0,1,,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,seed_only
CaChe,0,1,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,seed_only
ParlaMint-GB,0,1,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,seed_only
